"lemma","form_1","form_1_freq","form_2","form_2_freq","msps","chisq_eq","p_eq","p_cat","cond_type","def"
"heave","hove",10,"heaved",7,"pst",0.529411764705882,"0.4669","0.0072","no_cond","To move in an indicated way. (Past tense usually 'hove') ""The ship hove into view."""
"heave","hove",36,"heaved",0,"pst",36,"0.0000","1.0000","cat","Phrase: heave into view, heave into sight. "
"heave","hove",5,"heaved",12,"pst",2.88235294117647,"0.0896","0.0445","no_cond","To throw. To cast. ""heaved her books on the floor"""
"heave","hove",0,"heaved",22,"pst",22,"0.0000","1.0000","cat","To utter with obvious effort or with a  deep breath. ""heaved a sigh of relief"""
"creep","creeped",3,"crept",25,"ppt",17.2857142857143,"0.0000","0.2364","cat","To go very slowly. ""The hours crept by."""
"creep","creeped",10,"crept",63,"ppt",38.4794520547945,"0.0000","0.0014","prob","To enter or advance gradually so as to be almost unnoticed. ""Age creeps up on us."" ""A note of irritation crept into her voice."""
"creep","creeped",72,"crept",0,"ppt",72,"0.0000","1.0000","cat","To cause (someone) to have an uncomfortable feeling of nervousness or hear. To give (someone) the creeps. ""That guy really creeps me out."" ""I felt creeped out being alone in the office at night."" "
"creep","creeped",2,"crept",32,"pst",26.4705882352941,"0.0000","0.4925","cat","To go very slowly. ""The hours crept by."""
"creep","creeped",4,"crept",32,"pst",21.7777777777778,"0.0000","0.1145","cat","To go timidly or cautiously so as to escape notice. ""She crept away from the festive scene."""
"creep","creeped",6,"crept",36,"pst",21.4285714285714,"0.0000","0.0258","prob","To enter or advance gradually so as to be almost unnoticed. ""Age creeps up on us."" ""A note of irritation crept into her voice."""
"creep","creeped",81,"crept",0,"pst",81,"0.0000","1.0000","cat","To cause (someone) to have an uncomfortable feeling of nervousness or hear. To give (someone) the creeps. ""That guy really creeps me out."" ""I felt creeped out being alone in the office at night."" "
"spill","spilt",0,"spilled",16,"ppt",16,"0.0001","1.0000","cat","To spread profusely or beyond bounds. ""Crowds spilled into the streets."""
"spill","spilt",72,"spilled",54,"ppt",2.57142857142857,"0.1088","0.0000","no_cond","To cause or allow especially accidentally or unintentionally to fall, flow, or run out so as to be lost or wasted. "
"sew","sewed",35,"sewn",53,"ppt",3.68181818181818,"0.0550","0.0000","no_cond","To unite or fasten by stitches. "
"sew","sewed",20,"sewn",13,"ppt",1.48484848484848,"0.2230","0.0001","no_cond","To create via sewing. "
"sew","sewed",40,"sewn",13,"ppt",13.7547169811321,"0.0002","0.0001","prob","To close or enclose by sewing. ""sew the money in the bag"""
"sew","sewed",1,"sewn",17,"ppt",14.2222222222222,"0.0002","1.0000","cat","To scatter (seed) upon the earth for growth. To plant. "
"shake","shook",10,"shaken",14,"ppt",0.666666666666667,"0.4142","0.0006","no_cond","To cause to quake, quiver, or tremble. "
"shake","shook",1,"shaken",26,"ppt",23.1481481481481,"0.0000","1.0000","cat","To lessen the stability of. To weaken. ""shake one's faith"""
"shake","shook",59,"shaken",42,"ppt",2.86138613861386,"0.0907","0.0000","no_cond","To stir the feelings of. To upset. To agitate. ""shook her up"""
"leap","leapt",84,"leaped",78,"pst",0.222222222222222,"0.6374","0.0000","no_cond","To spring free from or as if from the ground. To jump. ""leap over a fence"" ""A fish leaps out of the water."""
"leap","leapt",10,"leaped",9,"pst",0.0526315789473684,"0.8185","0.0011","no_cond","To pass abruptly from one state or topic to another. ""the difficult leap from college to the workplace"""
"leap","leapt",6,"leaped",10,"pst",1,"0.3173","0.0177","no_cond","To act precipitately. ""leaped at the chance"""
"burn","burnt",47,"burned",39,"ppt",0.744186046511628,"0.3883","0.0000","no_cond","To cause to undergo combustion. Especially, to destroy by fire. ""burned the trash"""
"burn","burnt",15,"burned",6,"ppt",3.85714285714286,"0.0495","0.0207","prob","To use as fuel. ""This furnace burns gas"""
"burn","burnt",5,"burned",11,"ppt",2.25,"0.1336","0.0434","no_cond","To injure or damage by or as if by exposure to fire, heat, or radiation. To scorch. ""burned his hand"""
"burn","burnt",12,"burned",18,"ppt",1.2,"0.2733","0.0001","no_cond","To subject to misfortune, mistreatment, or deception. Often used in passive. ""has been burned in love"""
"dream","dreamt",25,"dreamed",44,"pst",5.23188405797101,"0.0222","0.0000","prob","To indulge in daydreams or fantasies. ""dreaming of a better future"""
"dream","dreamt",56,"dreamed",15,"pst",23.6760563380282,"0.0000","0.0000","prob","To have a dream of. ""dreamt that he was running in the woods"""
"dream","dreamt",6,"dreamed",20,"pst",7.53846153846154,"0.0060","0.0226","prob","To consider as a possibility. To imagine. ""never dreamed I would become a teacher"""
"dream","dreamt",7,"dreamed",20,"pst",6.25925925925926,"0.0124","0.0100","prob","To come up with the idea for. Often, the phrase ""dream up"". "
"learn","learnt",51,"learned",39,"pst",1.6,"0.2059","0.0000","no_cond","To gain knowledge or understanding of or skill in by study, instruction, or experience. ""learn a trade"" ""learned to play chess"""
"learn","learnt",6,"learned",16,"pst",4.54545454545455,"0.0330","0.0211","prob","To come to be able to. ""learn to dance"""
"learn","learnt",37,"learned",29,"pst",0.96969696969697,"0.3248","0.0000","no_cond","To come to realize. ""learned that honesty paid"""
"learn","learnt",6,"learned",14,"pst",3.2,"0.0736","0.0202","no_cond","To come to know. To hear. ""We just learned that he was ill."""
"spill","spilt",7,"spilled",10,"pst",0.529411764705882,"0.4669","0.0072","no_cond","To flow, run, or fall out, over, or off and become wasted, scattered, or lost. ""water spilling over the dam"""
"spill","spilt",0,"spilled",18,"pst",18,"0.0000","1.0000","cat","To spread profusely or beyond bounds. ""Crowds spilled into the streets."""
"spill","spilt",49,"spilled",17,"pst",15.5151515151515,"0.0001","0.0000","prob","To cause or allow especially accidentally or unintentionally to fall, flow, or run out so as to be lost or wasted. "
"spill","spilt",2,"spilled",18,"pst",12.8,"0.0003","0.4872","cat","To let out. To divulge. ""spill a secret"""
"disprove","disproven",100,"disproved",100,"ppt",0,"1.0000","0.0000","no_cond","To prove to be false or wrong. To refute. ""disprove a theory"""
"leap","leapt",55,"leaped",56,"ppt",0.00900900900900901,"0.9244","0.0000","no_cond","To spring free from or as if from the ground. To jump. ""leap over a fence"" ""A fish leaps out of the water."""
"leap","leapt",22,"leaped",23,"ppt",0.0222222222222222,"0.8815","0.0000","no_cond","To pass abruptly from one state or topic to another. ""the difficult leap from college to the workplace"""
"leap","leapt",21,"leaped",17,"ppt",0.421052631578947,"0.5164","0.0000","no_cond","To act precipitately. ""leaped at the chance"". I used it like 'to move quickly'"
"smell","smelt",41,"smelled",59,"pst",3.24,"0.0719","0.0000","no_cond","To have an odor of scent. "
"smell","smelt",48,"smelled",19,"pst",12.5522388059701,"0.0004","0.0000","prob","To perceive the odor or scent of through stimuli affecting the olfactory nerves. Get the odor or scent of with the nose. "
"know","knowed",42,"knew",63,"pst",4.2,"0.0404","0.0000","prob","To perceive directly. To have direct cognition of. To have understanding of. ""importance of knowing oneself"""
"know","knowed",26,"knew",9,"pst",8.25714285714286,"0.0041","0.0022","prob","To recognize as being the same as something previously known. To be acquainted or familiar with. To have experience of. "
"know","knowed",26,"knew",25,"pst",0.0196078431372549,"0.8886","0.0000","no_cond","To be aware of the truth or factuality of. To be convinced or certain of. "
