aggregation	silhouette	davies_bouldin	calinski_harabasz	dunn	intra_inter_ratio	centroid_separation	nearest_centroid_loo_acc	total_samples	distance	model	head_indices	embedding_source
micro	-0.36645134902892224	6.820893724634249	7.891196063318473	0.04717272814076158	0.867684168429939	1.0327079077959749	0.34527384527384525	14183.0	cosine	answerdotai_ModernBERT-base	1,5	head
macro	-0.20823577037244906	6.2102300267202315	7.060890498285955	0.1471869882619922	0.9024975215799675	2.2306686473723993	0.2774559287232758		euclidean	answerdotai_ModernBERT-base	1,5	head
micro	-0.20831804375021595	6.820893724634249	7.891196063318473	0.14321814262170762	0.9058683539303174	2.1863914924789847	0.2603317603317603	14183.0	euclidean	answerdotai_ModernBERT-base	1,5	head
macro	-0.36566333670075907	6.1866679702300145	7.0002808509512136	0.0478429453520894	0.8626921286316467	1.0329731869683652	0.35329420246655646		cosine	answerdotai_ModernBERT-base	1,7	head
micro	-0.37207275835812426	6.841996816853798	7.794845604516627	0.04569591744568655	0.8699889107361142	1.029705025077833	0.3404118404118404	14183.0	cosine	answerdotai_ModernBERT-base	1,7	head
macro	-0.20899853824801953	6.1866679702300145	7.0002808509512136	0.14742191582987554	0.9046686706681342	2.251304374065929	0.27508874150660095		euclidean	answerdotai_ModernBERT-base	1,7	head
micro	-0.21205839112527544	6.841996816853798	7.794845604516627	0.14110801622736013	0.9086046412155674	2.226155023180524	0.2574717574717575	14183.0	euclidean	answerdotai_ModernBERT-base	1,7	head
macro	-0.3593691405647109	6.110265262443539	6.944529580986801	0.0480378381310325	0.8638152390206421	1.0279697591140509	0.35836432113672956		cosine	answerdotai_ModernBERT-base	1,6	head
micro	-0.36373338826546875	6.71128544779416	7.79063084464324	0.045502732789180766	0.8704216628426621	1.026708219431855	0.34412984412984415	14183.0	cosine	answerdotai_ModernBERT-base	1,6	head
macro	-0.2038620463822756	6.110265262443539	6.944529580986801	0.14681664800162533	0.9040868221780176	2.2006402490221415	0.2846226766276963		euclidean	answerdotai_ModernBERT-base	1,6	head
